"","analysis_variable_name","SES_level","N_ELSA_subset","N_HRS_subset","N_ELSA_discrimYES","N_HRS_discrimYES","Odds_ratio_ELSA","Odds_ratio_ELSA_CI_lower","Odds_ratio_ELSA_CI_upper","Odds_ratio_HRS","Odds_ratio_HRS_CI_lower","Odds_ratio_HRS_CI_upper","OR_discrimination_cross_national_value","OR_discrimination_cross_national_values_CI_lower","OR_discrimination_cross_national_values_CI_upper","discrimination_chi_value_cross_national","discrimination_pvalue_cross_national","analysis_variable_name","SES_level","N_ELSA_subset","N_HRS_subset","N_ELSA_discrimYES","N_HRS_discrimYES","cross_country_OR_UK","CI1_UK","CI2_UK","cross_country_OR_USA","CI1_USA","CI2_USA","chi_value_cross_national","pvalue_cross_national"
"X-squared","disability_discrimination","1","2662","332","259","6","0.0116169464268984","0.0102193305180752","0.0132057030591908","0.000338740637585156","0.000151069222734916","0.000759553914915834","3.36016511867905","1.47435115277483","7.65808715483925","8.57935422113142","0.00339995931379535","disability_discrimination","1","2662","332","259","6","1.07300362401818","1.02619179030594","1.12195087510193","1.1217609516809","1.02283686724203","1.2302525192595","0.842571684588989","0.358662302097485"
"X-squared1","disability","2","195","54","3","1","0.000244140624999999","7.80485800785886e-05","0.000763686472135344","0.000355998576005695","4.9230953961263e-05","0.00257429474589916","0.39344262295082","0.0393348716404244","3.9353655191628","0.00165777102488182","0.967522517787728","disability_discrimination","2","195","54","3","1","0.973404248259964","0.918465418762351","1.03162929292138","1.09525892397826","0.927725640593319","1.29304619605731","0.0155859931542799","0.900647151770308"
"X-squared2","financial_all","1","7581","7068","504","151","0.00507180656693288","0.00463361067059466","0.00555144220804427","0.000476560829726242","0.000405597481827896","0.000559939927155988","3.31327937741511","2.74680824208123","3.99657320981623","171.597439222447","3.31344023626116e-39","financial_discrimination","1","7581","7068","504","151","1.08431841160481","1.07152533893809","1.09726422233783","1.19506157814042","1.14760044835281","1.24448555034759","13.0384090132727","0.000305167229993741"
"X-squared3","financial_all","2","959","859","29","11","0.000972366747600878","0.000671919844648984","0.00140715756406011","0.000168264951940193","9.28288109616275e-05","0.000305003304018826","2.13528372275672","1.05267154390072","4.3313003026325","3.9373901171134","0.0472239888073353","financial_discrimination","2","959","859","29","11","1.02749255414842","0.99878940488399","1.05702057277336","1.07149767322595","0.96016811140178","1.19573567388367","0.152353244095799","0.696296581575662"
"X-squared4","financial_female","1","4257","4131","238","76","0.00350685574697098","0.00307702801893393","0.00399672578682731","0.000351273564322866","0.000279958331509885","0.000440755294999085","3.27723378212974","2.513835663331","4.27245958015444","83.745375692013","5.62785465156501e-20","financial_discrimination_female","1","4257","4131","238","76","1.07266139108299","1.05715053045081","1.08839983216906","1.21397472039203","1.15690729954373","1.2738571381926","5.57932208002097","0.0181737562429043"
"X-squared5","financial_female","2","486","452","11","5","0.000536288088642658","0.000294979453002437","0.000974999821487972","0.000125119489112102","5.1823402754503e-05","0.000302081409625558","1.84691358024691","0.631366561004372","5.40270895480138","0.775594759429025","0.378491814135902","financial_discrimination_female","2","486","452","11","5","1.01574757603057","0.981244191037427","1.05146419987584","1.08561402433857","0.947890836529889","1.24334761390367","0.0262540893686083","0.87128133404299"
"X-squared6","financial_male","1","3324","2937","266","75","0.00756638282928565","0.00667535283726613","0.00857634802458701","0.000686725648159137","0.000546026391409406","0.000863680077115523","3.27721638871732","2.51251644797797","4.27465749214134","82.9570854877749","8.38542409420078e-20","financial_discrimination_male","1","3324","2937","266","75","1.0998130286857","1.07835001617851","1.12170323171449","1.20129892553419","1.12070608009539","1.28768740896522","7.74046143546514","0.00539970010588942"
"X-squared7","financial_male","2","473","407","18","6","0.00156502837821519","0.000977143423620807","0.00250660626210115","0.000223879204731314","9.99805767825055e-05","0.000501316354877199","2.33181818181818","0.906062414160108","6.00110538532617","2.52379116292073","0.11214068865834","financial_discrimination_male","2","473","407","18","6","1.040522452453","0.993801981343479","1.08943933940961","1.0863283508245","0.909526218795812","1.29749891912682","0.156281505298022","0.692603378507488"
"X-squared8","sex_discrimination_female","1","4257","4131","374","512","0.00927701851391152","0.00834299591831746","0.0103156076486267","0.020015330039846","0.0182461331558994","0.0219560732776104","0.343984737776564","0.297527136327064","0.39769649681009","219.155137383401","1.3825194418566e-49","sex_discrimination_female","1","4257","4131","374","512","0.876794590900147","0.861480378275753","0.892381038521671","1.59140082861738","1.50364703633729","1.68427598772985","24.7715223980512","6.45440479729587e-07"
"X-squared9","sex_discrimination_female","2","486","452","57","57","0.0176536749963323","0.0133915865652919","0.0232722418181476","0.0208235859637879","0.0157742315651851","0.0274892460275718","0.365384615384615","0.242135074644746","0.551369591355732","23.0447470571459","1.58274354409497e-06","sex_discrimination_female","2","486","452","57","57","0.844826742456781","0.795048448405408","0.897721674951553","1.77091864640173","1.40978983604533","2.22455345611706","3.95459773819503","0.0467434889356459"
"X-squared10","sex_discrimination_male","1","3324","2937","114","114","0.00126124552362652","0.00104633930238999","0.00152029104443888","0.00163075209970626","0.00135229162336172","0.00196655245418543","0.489254533243788","0.374586916726876","0.63902391570747","27.7799144207065","1.3593002385067e-07","sex_discrimination_male","1","3324","2937","114","114","0.967904559275335","0.95534651832254","0.980627675820647","1.2165715473113","1.16386522454504","1.27166470697322","1.10112576238541","0.294019179223285"
"X-squared11","sex_discrimination_male","2","473","407","7","18","0.000225644237322477","0.000106976152290719","0.000475950207093583","0.00214114366148783","0.00133481958535595","0.00343454368622183","0.14021164021164","0.057482971452188","0.342002223513971","22.2860423024701","2.34907874342351e-06","sex_discrimination_male","2","473","407","7","18","0.913968091531279","0.883566914005288","0.945415292375162","1.21443616535191","1.07240600506101","1.37527689396961","1.00352658602007","0.316458679312664"
"X-squared12","race","1","192","705","33","140","0.0430758276966892","0.0296076024294497","0.0626706244173702","0.0613986999765056","0.0510267517244921","0.0738789013880243","0.595833333333333","0.389330830955857","0.911865521257327","5.29489655094962","0.0213880013049531","race_discrimination","1","192","705","33","140","0.928531373814097","0.852690773741586","1.01111743988258","1.50841458021612","1.09374348661925","2.08029997311488","0.549294080712272","0.458606275882394"
"X-squared13","race","2","18","12","5","2","0.14792899408284","0.0527367290240853","0.414947754540614","0.04","0.00876415390304048","0.182561832859293","1.34615384615385","0.205469982641832","8.81943996984531","1.43685379165256e-31","1","race_discrimination","2","18","12","5","2","1.31113228917161","0.88954314764932","1.93252894393166","5.45026822254049","1.36108012803475","21.8248897223461","0.341788901242864","0.558798449829698"
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X-squared14","weight_discrimination_BMI_29.9","1","1771","4720","167","185","0.0108398735082493","0.00924295766577816","0.0127126902365784","0.00166413622334677","0.00143662164913995","0.00192768177446913","1.45132293923358","1.16614503214207","1.80624040397146","10.8567163355715","0.000984380859071452","weight_discrimination_BMImore29.9","1","1771","4720","167","185","1.03505485498062","1.01792608970016","1.05247184806367","1.35600735557913","1.28195226364213","1.43434042010317","1.20251037408019","0.272820512112654"
"X-squared15","weight_discrimination_BMI_29.9","2","154","472","10","14","0.00482253086419753","0.00254042802696558","0.00915467932540366","0.000934383402299728","0.000549005749009969","0.00159027905275608","1.08193277310924","0.467129123101441","2.5058992634755","1.37080546154766e-29","0.999999999999997","weight_discrimination_BMImore29.9","2","154","472","10","14","0.996149568684241","0.945538228075449","1.04946995660827","1.36782189159745","1.12492272320284","1.66316911245811","0.00126188764258117","0.97166266043066"
"X-squared16","weight_discrimination_BMI_25_29.9","1","2222","1588","16","14","5.26052330699512e-05","3.21702412794322e-05","8.60208203695736e-05","7.91127744527096e-05","4.674549375905e-05","0.000133891645553398","0.440285575656755","0.21389675446931","0.906284850428685","4.3415849889565","0.0371922847963919","weight_discrimination_BMImore25.0_less29.9","1","2222","1588","16","14","0.990836041279341","0.982608832714348","0.999132134794804","1.05884382196617","1.0305485361504","1.08791599811879","0.0480220984164674","0.826541421106662"
"X-squared17","weight_discrimination_BMI>25.0_29.9","2","323","253","1","0","9.64468963388769e-06","1.35441055903119e-06","6.86793509647162e-05","0","0","NaN","Inf","NaN","Inf","1.86748516021358e-27","0.999999999999965","weight_discrimination_BMI>25.0_29.9","1","2222","1588","16","14","0.990836041279341","0.982608832714348","0.999132134794804","1.05884382196617","1.0305485361504","1.08791599811879","0.0480220984164674","0.826541421106662"
"X-squared18","weight_discrimination_BMI_25.0","1","3993","6308","183","199","0.00230702461404923","0.00198900101229576","0.00267589736602787","0.00106112342641178","0.000921403353126997","0.00122203041942337","0.831821681670984","0.676772248047065","1.02239314938609","2.88665377500793","0.0893162573078567","weight_discrimination_BMI","1","3993","6308","183","199","0.997266641591164","0.986990703956423","1.00764956594204","1.26475102949689","1.2200634232027","1.31107542132072","0.0132739967032762","0.908276427785354"
"X-squared19","weight_discrimination_BMI>25.0","2","477","725","11","14","0.000557203116653465","0.000306443502052489","0.00101315678462373","0.000387718808911994","0.000228449730097681","0.000658026055534662","0.549822637858755","0.246331484004053","1.22722815690497","1.62237516892781","0.202760921982142","weight_discrimination_BMImore25.0","2","477","725","11","14","0.978055127440564","0.953497411544491","1.00324533735574","1.20872175971757","1.09456023120649","1.3347902205476","0.08977406035104","0.764464587789751"
